State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
ALASKA,ANCHORAGE MUNICIPALITY,49913,49122,49137,49485,49714,13362,25264,25451,25687,25341,22035,25479,25687,12744,23704,23985,24119,23664,20697,23848,24121,2103,4274,4368,4516,4270,4360,7457,7274,2983,5184,5128,5066,4513,5911,6057,6006,2829,5152,5038,4893,4970,5011,3417,3447,1563,3065,3183,3102,2955,3021,4158,4246,11822,22714,23424,24005,24168,24429,28238,28835,1242,2138,2052,1958,1782,3564,6441,6243,6266,6347
KENTUCKY,ANDERSON COUNTY,4070,4006,4016,3855,4094,2020,2059,2060,2095,2062,2045,1935,1926,1902,1918,1930,1930,1903,1928,1879,1840,5,4,6,5,3,2,2,1,22,19,18,21,20,13,14,8,108,86,75,65,52,56,42,26,74,73,69,89,93,84,92,94,3568,3647,3691,3845,3797,3818,3664,3637,0,0,0,†,†,145,148,131,†,†
KANSAS,ANDERSON COUNTY,1354,1382,1388,1427,1378,677,695,728,720,729,756,771,773,632,616,631,634,653,632,646,630,27,22,29,9,18,17,19,14,4,3,3,4,5,3,1,0,34,33,37,39,18,19,20,12,11,12,16,9,14,14,9,10,1222,1233,1259,1266,1327,1335,1368,1367,0,0,0,0,†,11,8,15,27,†
SOUTH CAROLINA,ANDERSON COUNTY,31059,31130,30848,30351,29861,16162,15939,15603,15691,15923,15876,16373,15843,15139,15004,14711,14736,15106,14879,15431,15174,40,40,38,80,70,63,49,39,292,262,257,325,344,323,299,281,1327,1207,1091,965,959,869,815,679,6190,6106,6150,6922,6922,6938,7379,7237,22360,22299,21903,22135,22734,22562,23262,22781,29,25,25,†,†,1063,1004,850,†,†
TENNESSEE,ANDERSON COUNTY,12288,12468,13207,12493,12161,6357,6559,6620,6330,6474,7030,6586,6351,5891,6039,6137,5958,5994,6349,6038,5952,30,24,40,27,23,25,24,23,203,202,203,212,191,210,206,191,404,414,393,313,301,280,256,211,809,856,905,902,877,895,926,859,10586,10925,11098,10834,11076,11969,11212,11019,7,10,8,†,†,209,167,110,†,†
TEXAS,ANDERSON COUNTY,8473,8509,8539,8604,8567,4439,4446,4538,4524,4580,4519,4553,4495,4030,4049,4081,4103,4079,4125,4131,4143,26,21,27,41,24,17,14,15,62,74,69,78,68,69,61,46,1926,1874,1839,1685,1634,1555,1526,1403,1402,1470,1526,1653,1619,1649,1650,1666,4772,4813,4933,5170,5314,5354,5433,5508,6,9,5,†,†,275,234,220,†,†
MISSOURI,ANDREW COUNTY,2865,2890,2878,2890,2884,1460,1511,1523,1496,1511,1519,1514,1509,1351,1374,1366,1365,1379,1359,1376,1377,15,19,29,8,9,6,8,7,19,21,22,17,15,9,7,8,62,63,47,45,38,45,42,42,35,34,38,43,40,39,42,37,2657,2719,2737,2748,2788,2779,2791,2792,3,2,0,†,†,20,27,16,†,†
TEXAS,ANDREWS COUNTY,3143,3120,3037,2975,2901,1905,1779,1705,1633,1645,1599,1557,1526,1714,1634,1545,1510,1475,1438,1418,1375,11,6,4,6,8,9,9,9,13,13,14,21,21,22,19,16,2365,2212,2058,1942,1901,1817,1761,1674,65,54,67,73,66,66,64,46,1112,1075,1055,1101,1124,1123,1122,1156,0,0,0,†,†,53,53,52,†,†
MAINE,ANDROSCOGGIN COUNTY,15820,16508,16691,16472,16114,8242,8287,8430,8291,8421,8447,8346,8343,7691,7695,7784,7595,7632,7815,7728,7771,68,70,17,72,70,69,59,68,143,151,24,169,161,162,146,148,320,288,292,293,275,252,225,214,1873,1788,54,1591,1443,1292,1119,894,13334,13519,13921,13761,14104,14487,14525,14790,8,8,1,†,†,187,158,1905,†,†
TEXAS,ANGELINA COUNTY,17285,17061,17019,17035,17053,8965,8924,8903,8787,8681,8693,8688,8739,8637,8588,8558,8498,8380,8326,8347,8314,51,54,56,43,36,35,35,31,169,155,147,147,154,148,132,131,5532,5478,5353,4882,4689,4471,4413,4304,3010,2954,2950,3109,3153,3183,3209,3236,8509,8544,8644,9104,9029,9182,9246,9351,15,12,11,†,†,316,315,300,†,†
MARYLAND,ANNE ARUNDEL COUNTY,74776,73653,73400,73066,73565,18087,38993,38678,38370,37792,37716,37651,37724,17488,37310,36803,36406,35861,35684,35415,35841,96,264,250,344,327,337,322,305,1308,2675,2591,3155,2937,2778,2645,2534,3936,7065,6610,5204,4836,4388,3946,3478,7216,15696,15623,17216,16836,16671,16202,16126,21024,46648,46746,48857,48717,49226,49951,51122,106,241,266,†,†,1889,3714,3395,†,†
MINNESOTA,ANOKA COUNTY,64574,64376,65009,65702,65990,29168,29314,29473,29677,29452,29613,29849,29869,27245,27364,27498,27699,27722,27825,28223,28236,630,663,665,904,911,892,863,885,2771,2839,2952,3150,3093,2968,2929,2822,3460,3263,3128,2942,2744,2489,2307,2033,5113,5075,4912,5139,4942,4490,4149,3676,42839,43506,44192,45241,45484,46599,47824,48689,42,31,16,†,†,1558,1301,1106,†,†
NORTH CAROLINA,ANSON COUNTY,3903,4046,4072,4236,4261,1819,1899,1923,1955,2017,2035,2118,2131,1831,1871,1922,1945,1973,1983,2071,2130,20,21,22,22,18,20,15,17,56,70,75,81,91,97,102,88,117,125,128,102,89,75,75,70,2125,2229,2291,2418,2460,2494,2604,2678,1242,1235,1229,1277,1332,1332,1393,1408,2,2,3,†,†,88,88,97,†,†
NEBRASKA,ANTELOPE COUNTY,1089,1093,1067,‡,1201,488,482,475,491,481,463,479,501,449,436,422,437,431,422,425,466,0,0,1,2,0,0,0,0,4,3,2,7,2,1,2,2,79,66,60,44,32,16,19,19,7,4,1,9,6,4,3,6,834,836,825,866,872,864,880,940,1,0,0,†,†,12,9,8,†,†
MICHIGAN,ANTRIM COUNTY,4200,4222,4339,4386,4357,1845,1789,1799,1914,1918,2025,2119,2103,1661,1722,1744,1929,1890,1914,1967,1959,60,57,46,65,64,60,45,60,23,23,21,30,29,34,26,28,100,87,87,105,87,84,78,93,19,19,13,36,26,23,27,33,3201,3232,3299,3607,3602,3738,3910,3848,3,5,4,†,†,100,88,73,†,†
ARIZONA,APACHE COUNTY,13218,13357,13404,13556,13653,‡,6327,6473,6804,6872,7039,7064,8335,‡,6049,6008,6258,6357,6467,6654,7712,‡,9726,9765,10352,10366,10680,10868,12698,‡,27,28,38,44,38,43,37,‡,608,611,586,598,597,583,673,‡,29,24,24,39,29,31,35,‡,1892,1959,2062,2182,2162,2193,2604,10,19,16,†,†,31,75,78,†,†
IOWA,APPANOOSE COUNTY,2117,2190,2221,2124,2170,1006,1017,1020,1025,1060,1079,1053,1084,968,968,994,1021,1055,1062,1071,1086,5,4,6,5,1,2,2,2,17,17,18,16,15,12,12,15,26,35,37,33,22,23,24,21,19,18,24,23,26,40,34,34,1888,1892,1907,1952,2051,2064,2052,2098,1,1,1,0,†,18,18,21,17,†
GEORGIA,APPLING COUNTY,3537,3540,3519,3394,3370,1853,1884,1889,1849,1826,1825,1771,1743,1712,1681,1691,1688,1653,1643,1589,1597,3,3,4,4,0,0,0,0,26,27,31,28,24,21,19,17,442,425,417,395,333,312,299,256,798,800,816,817,848,854,838,841,2207,2231,2224,2226,2274,2281,2204,2226,0,1,2,1,†,89,78,86,66,†
VIRGINIA,APPOMATTOX COUNTY,2334,2247,2317,2307,2319,1147,1179,1203,1215,1145,1194,1193,1237,1147,1131,1097,1106,1088,1112,1104,1080,3,2,1,4,4,5,5,0,9,7,8,6,6,7,6,4,20,25,20,18,16,19,16,15,556,564,562,719,682,699,699,719,1503,1529,1533,1574,1525,1576,1571,1579,0,0,0,†,†,203,183,176,†,†
TEXAS,ARANSAS COUNTY,3156,3039,3162,3245,3338,1685,1688,1655,1686,1635,1692,1750,1766,1480,1446,1438,1470,1404,1470,1495,1572,13,14,12,14,12,18,12,9,76,79,85,101,105,111,119,122,1275,1269,1277,1179,1135,1164,1170,1152,38,36,39,75,73,66,63,76,1695,1671,1621,1787,1714,1803,1881,1979,0,0,1,†,†,68,65,58,†,†
COLORADO,ARAPAHOE COUNTY,109870,108224,105764,105359,104270,56408,55393,54842,53575,54259,51956,51793,51124,52995,52106,51713,50605,51633,48981,49009,48500,695,698,703,792,814,773,773,755,6452,6348,6135,6639,6358,5921,5711,5494,32206,31225,30657,26420,27011,24650,24223,22858,13043,13058,13267,14974,15121,14037,13941,13571,51763,51490,51629,55355,56588,55556,56154,56946,335,332,294,†,†,4909,4348,3870,†,†
TEXAS,ARCHER COUNTY,1847,1807,1800,1839,1895,935,947,978,978,937,946,965,1000,916,885,890,869,870,854,874,895,16,19,17,19,16,17,16,13,2,4,0,2,1,1,1,2,225,209,216,185,170,175,169,161,7,9,13,20,14,6,6,7,1573,1558,1587,1621,1606,1601,1647,1712,0,0,0,†,†,28,33,35,†,†
COLORADO,ARCHULETA COUNTY,1517,1525,1545,1689,1690,721,723,770,790,800,826,877,882,650,682,722,727,725,719,777,808,23,21,30,25,21,24,26,27,14,14,13,19,15,19,16,12,392,356,357,391,395,390,392,384,14,16,20,18,15,17,19,20,911,990,1069,1064,1079,1095,1201,1247,0,0,0,†,†,17,8,3,†,†
MICHIGAN,ARENAC COUNTY,2496,2535,2643,2696,2799,1183,1233,1276,1299,1313,1365,1439,1468,1086,1128,1166,1202,1201,1250,1302,1321,32,26,28,35,30,24,32,31,8,7,10,12,13,15,13,17,23,27,34,18,20,22,29,26,12,15,17,16,16,16,16,11,2173,2274,2337,2420,2435,2538,2651,2704,3,0,0,†,†,18,12,16,†,†
ARKANSAS,ARKANSAS COUNTY,3271,3362,‡,3397,3576,1590,1601,1629,1704,1738,1736,1768,1860,1524,1549,1568,1567,1624,1613,1629,1716,3,6,6,5,5,1,6,3,18,21,19,14,18,15,13,19,110,90,79,71,62,57,40,40,1003,1023,1034,1067,1147,1142,1195,1261,1940,1967,2014,2068,2130,2134,2143,2253,2,2,2,3,†,38,41,43,43,†
VIRGINIA,ARLINGTON COUNTY,20268,19599,18736,18456,18463,5314,11237,11058,10210,9814,9435,9405,9389,5022,10655,10427,9721,9372,8961,8797,8906,51,65,45,26,24,17,19,22,972,2095,2076,2236,2099,2021,1975,1889,3410,6271,6353,5450,5332,5075,5133,5444,1266,2461,2462,2591,2528,2532,2562,2612,4158,9956,9535,9628,9203,8751,8513,8328,9,16,17,†,†,470,1028,997,†,†
TEXAS,ARMSTRONG COUNTY,321,325,356,351,372,176,170,169,166,167,187,176,184,191,194,180,155,158,169,175,188,2,2,1,2,1,3,3,3,0,0,0,0,0,1,0,0,47,38,36,35,24,24,24,24,10,7,7,8,5,6,5,4,300,313,304,276,295,322,319,341,0,0,0,†,†,8,4,1,†,†
PENNSYLVANIA,ARMSTRONG COUNTY,6866,6992,7159,9258,10996,4829,4784,4995,5016,5157,5153,5399,5483,4374,4340,4531,4559,4674,4751,5041,5158,15,12,12,8,13,9,11,4,23,24,19,23,21,13,26,26,45,33,38,30,22,21,18,20,135,120,118,117,123,114,134,122,8936,8894,9301,9397,9652,9747,10251,10469,0,0,0,†,†,49,41,38,†,†
MAINE,AROOSTOOK COUNTY,10399,10755,10918,‡,11502,4989,5257,5342,5397,5698,5689,5843,5880,4839,5038,5056,5148,5350,5381,5548,5704,328,337,227,326,300,277,265,257,67,69,96,74,74,76,79,88,121,136,133,114,109,90,97,96,102,103,56,95,103,102,109,109,9161,9600,9725,9936,10462,10525,10841,11034,10,12,5,†,†,39,38,156,†,†
NEBRASKA,ARTHUR COUNTY,90,91,94,79,82,46,50,52,39,47,49,42,40,54,55,54,51,44,45,37,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,6,5,2,2,0,0,0,0,0,0,0,0,0,95,100,101,84,86,91,77,82,0,0,0,†,†,0,0,0,†,†
LOUISIANA,ASCENSION PARISH,19460,19104,18595,18199,17944,10818,10551,10305,10115,9834,9542,9334,9285,10020,9846,9580,9381,9303,9093,8865,8659,75,69,99,44,49,49,51,54,209,209,233,206,167,145,118,117,1189,1110,878,968,845,827,727,626,6402,6192,6042,5917,5877,5671,5491,5393,12669,12597,12470,12361,12199,11943,11812,11754,21,17,11,†,†,273,203,152,†,†
NORTH CAROLINA,ASHE COUNTY,3339,3533,3330,3405,3349,1671,1662,1690,1698,1678,1677,1719,1724,1599,1606,1607,1638,1569,1591,1635,1625,5,7,14,11,7,8,9,13,16,16,18,9,10,9,6,5,287,282,282,194,166,173,156,132,14,14,12,84,81,17,18,63,2910,2912,2930,3038,2983,3061,3165,3136,0,1,1,†,†,38,36,40,†,†
OHIO,ASHLAND COUNTY,9373,10172,10235,10230,10351,4454,4582,4724,4858,5292,5409,5370,5493,4252,4339,4477,4478,4823,4820,4852,4884,7,6,7,10,9,12,12,13,41,31,30,38,50,45,45,49,113,114,132,73,76,79,74,56,55,51,61,137,143,146,142,182,8297,8527,8766,9078,9837,9947,9949,10077,7,7,9,†,†,186,185,196,†,†
WISCONSIN,ASHLAND COUNTY,2711,2866,2866,2910,2940,1509,1515,1559,1583,1530,1534,1561,1569,1339,1324,1343,1353,1336,1332,1349,1371,463,464,490,515,505,508,520,498,16,20,21,27,29,29,23,25,44,32,24,20,15,16,19,14,21,20,25,22,19,14,12,16,2232,2244,2309,2352,2298,2299,2336,2387,2,2,4,†,†,70,57,29,†,†
ARKANSAS,ASHLEY COUNTY,4083,4102,4208,4234,4360,2004,2031,2079,2067,2066,2118,2138,2211,1955,2018,1964,2016,2036,2090,2096,2154,4,2,2,1,8,7,3,1,6,10,10,13,9,11,8,8,322,326,305,293,265,248,225,195,1181,1205,1246,1256,1321,1429,1417,1482,2415,2481,2459,2506,2499,2513,2581,2679,5,7,3,1,†,26,18,18,13,†
OHIO,ASHTABULA COUNTY,15330,16262,16510,‡,17143,7380,7542,7721,7382,7887,8076,8319,8522,6996,7176,7373,7201,7640,7735,7890,7996,11,19,20,13,10,15,19,18,51,53,59,59,80,73,75,79,785,731,743,648,623,625,614,573,410,457,486,482,520,550,558,644,12372,12700,13005,13381,14294,14548,14943,15204,4,5,3,†,†,743,753,778,†,†
WASHINGTON,ASOTIN COUNTY,3392,3302,3311,3358,3372,1668,1687,1734,1705,1664,1680,1656,1677,1651,1636,1665,1612,1576,1585,1569,1563,43,48,57,73,66,72,57,58,28,24,25,29,31,31,26,27,203,204,188,116,98,111,93,93,33,33,50,50,42,38,21,24,2882,2914,3007,3049,3003,3013,3028,3038,2,4,1,†,†,128,96,71,†,†
LOUISIANA,ASSUMPTION PARISH,4018,4006,4140,4217,4368,1971,1996,1937,2065,2074,2129,2103,2166,1828,1865,1869,1953,1932,2011,1949,2029,12,12,11,13,10,7,2,2,11,11,6,11,7,8,9,11,118,88,60,54,43,47,39,37,1607,1649,1643,1762,1730,1772,1789,1865,2035,2089,2081,2178,2216,2306,2213,2280,0,0,0,†,†,16,12,5,†,†
TEXAS,ATASCOSA COUNTY,8761,8661,8616,8550,8564,4307,4246,4221,4192,4402,4595,4324,4333,4150,4092,4080,4057,4259,4529,4219,4234,29,18,16,16,14,16,11,13,19,18,20,21,24,23,22,22,6196,6157,6132,6064,6285,6616,6098,6070,32,37,37,54,43,51,37,40,2127,2054,2050,2094,2295,2418,2375,2422,4,3,0,†,†,50,51,46,†,†
MISSOURI,ATCHISON COUNTY,900,929,930,952,939,402,432,424,460,476,468,495,486,394,433,417,440,453,462,457,452,1,1,0,1,1,0,0,0,3,4,5,2,3,3,0,3,18,16,13,7,8,8,6,7,2,4,3,10,10,10,27,13,772,840,820,880,907,909,919,915,0,0,0,†,†,0,0,0,†,†
KANSAS,ATCHISON COUNTY,2443,2388,2430,2417,2354,1226,1246,1266,1284,1237,1287,1219,1274,1112,1126,1151,1159,1156,1145,1166,1185,5,9,12,12,17,17,13,15,18,21,18,12,20,24,25,25,107,96,95,99,52,51,61,60,210,220,224,227,280,313,287,298,1859,1922,1950,1981,2024,2027,1999,2061,7,7,6,8,†,132,97,112,104,†
OHIO,ATHENS COUNTY,7666,8119,8136,‡,8332,3806,3792,3806,3828,4067,3901,4116,4199,3612,3592,3637,3634,3854,3709,3920,3971,5,12,12,15,17,18,12,13,136,136,134,131,130,101,125,137,81,78,65,64,53,46,51,54,109,112,115,130,131,133,137,134,6859,6825,6906,7122,7590,7312,7711,7832,1,1,1,†,†,227,220,210,†,†
GEORGIA,ATKINSON COUNTY,1703,1733,1769,1784,1759,899,882,874,872,853,898,908,897,855,840,860,831,796,813,829,826,1,2,2,1,2,2,2,1,1,1,2,1,4,3,1,5,615,604,597,552,559,565,575,505,318,300,305,299,311,354,354,372,797,786,804,822,773,787,805,840,0,0,0,0,†,22,29,24,28,†
NEW JERSEY,ATLANTIC COUNTY,45420,45254,44828,45628,46150,23173,23672,24082,24414,24406,24447,24510,24771,21827,22107,22531,22791,22965,22872,22887,23290,51,56,109,59,76,64,66,205,3924,4028,4168,3961,3221,3725,3537,3290,10992,10911,10277,10204,9983,9678,9235,9016,8232,8832,9129,9912,10022,10207,10411,10744,20495,20939,21785,22813,23358,23645,24148,24806,264,273,466,87,616,1042,740,679,169,95
OKLAHOMA,ATOKA COUNTY,2198,2333,2238,2250,2273,1148,1168,1191,1174,1200,1167,1194,1217,1128,1119,1184,1154,1140,1119,1108,1101,872,960,993,986,997,979,1144,883,11,9,10,6,7,6,5,4,78,72,42,60,51,43,48,45,73,87,83,98,97,86,77,104,1108,1062,1157,1178,1188,1172,1028,1282,1,1,2,†,†,133,96,88,†,†
MISSISSIPPI,ATTALA COUNTY,3441,3392,3416,3409,3433,1774,1769,1751,1763,1748,1779,1783,1816,1744,1761,1730,1708,1673,1674,1673,1673,10,9,8,6,3,3,1,2,17,15,12,9,14,14,11,12,66,67,61,55,59,46,37,33,1782,1823,1791,1829,1820,1829,1855,1941,1628,1602,1600,1567,1524,1561,1552,1501,0,0,0,0,1,15,14,9,5,0
MISSOURI,AUDRAIN COUNTY,3386,3485,3488,3434,3461,1759,1734,1779,1736,1802,1806,1755,1765,1659,1614,1603,1662,1696,1694,1689,1707,5,7,11,8,6,5,6,5,22,20,23,20,18,24,23,22,168,146,143,112,109,83,77,65,200,207,267,317,325,322,323,304,2852,2811,2827,2941,3040,3066,3015,3076,2,1,1,†,†,169,156,110,†,†
IOWA,AUDUBON COUNTY,905,889,925,947,968,388,397,401,412,430,465,461,480,367,393,412,449,459,460,486,488,2,0,2,0,1,3,2,1,4,4,5,9,6,6,5,6,10,6,6,11,6,4,4,4,6,2,2,1,9,9,8,6,721,758,781,828,867,903,928,951,0,0,0,0,†,12,20,17,12,†
OHIO,AUGLAIZE COUNTY,7985,8358,8483,8533,8468,4039,4048,4054,4068,4290,4336,4514,4354,3841,3836,3853,3790,3937,4014,4156,4014,8,8,6,5,6,5,5,3,33,46,38,37,42,50,45,36,109,95,63,46,43,32,38,41,27,24,25,20,41,27,164,25,7558,7557,7640,7750,8095,8236,8418,8263,4,4,9,†,†,141,150,126,†,†
VIRGINIA,AUGUSTA COUNTY,10810,10999,11040,‡,11045,5383,5374,5355,5486,5733,5612,5546,5550,5025,5025,5061,5268,5459,5308,5228,5133,19,21,21,19,25,22,14,15,64,60,58,71,77,60,48,38,355,347,339,318,288,285,250,233,264,252,278,396,439,366,341,337,9542,9577,9610,9950,10363,10187,10121,10060,1,4,3,†,†,163,138,107,†,†
SOUTH DAKOTA,AURORA COUNTY,556,560,531,497,531,310,307,303,283,288,268,250,272,270,272,270,273,272,235,247,259,23,29,36,36,32,19,0,3,2,4,4,5,6,4,3,7,48,43,33,28,27,19,17,19,10,6,6,7,5,4,3,3,493,494,492,480,490,457,474,499,2,2,2,†,†,2,1,0,†,†
TEXAS,AUSTIN COUNTY,5601,5618,5641,5613,5620,2728,2776,2734,2757,2754,2708,2714,2668,2500,2534,2493,2484,2520,2554,2535,2557,8,10,11,7,6,7,6,6,14,18,22,19,19,16,21,23,2003,2000,1928,1831,1762,1652,1563,1479,553,561,559,657,692,694,721,761,2545,2618,2603,2727,2795,2893,2938,2956,2,2,3,†,†,103,101,101,†,†
ALABAMA,AUTAUGA COUNTY,10076,9923,9852,9652,9505,4936,4997,5015,5074,4734,4978,4543,4529,4781,4828,4889,4928,4532,4790,4465,4381,20,18,25,35,47,52,61,58,172,167,135,140,115,110,96,93,197,192,189,230,197,186,152,126,2317,2356,2361,2423,2347,2283,2154,2114,6879,7012,7163,7174,6560,7137,6545,6519,4,0,1,†,†,128,80,30,†,†
NORTH CAROLINA,AVERY COUNTY,2397,2435,2435,2491,2506,1194,1235,1182,1223,1184,1205,1282,1290,1217,1216,1212,1243,1192,1203,1220,1216,2,4,5,10,9,7,10,7,15,16,8,13,11,13,10,10,211,200,182,165,138,151,122,111,11,14,9,45,55,20,10,32,2137,2181,2158,2233,2163,2217,2350,2346,4,2,4,†,†,31,34,28,†,†
LOUISIANA,AVOYELLES PARISH,6825,6890,6798,6891,7013,3399,3366,3430,3525,3544,3470,3566,3630,3290,3278,3322,3325,3376,3342,3353,3412,95,94,90,94,89,90,85,81,59,45,51,42,33,42,33,48,66,57,24,43,37,41,31,31,2887,2854,2863,2976,3028,2978,3051,3053,3536,3566,3626,3695,3733,3661,3719,3829,2,0,22,†,†,44,28,76,†,†
COLORADO,BACA COUNTY,1003,1072,4368,5009,2673,403,455,474,491,520,554,592,579,379,428,474,512,552,544,613,578,7,9,11,12,16,20,18,20,0,1,1,6,6,5,7,8,131,159,165,188,196,212,215,232,4,13,13,20,12,12,21,24,612,682,733,777,842,849,944,873,4,1,0,†,†,24,18,25,†,†
GEORGIA,BACON COUNTY,1869,1851,1891,1850,1872,1016,998,998,937,903,925,919,929,1010,1004,980,932,903,926,900,916,1,1,0,1,0,0,0,0,5,7,6,6,2,0,2,6,203,188,173,145,110,93,87,80,400,390,381,340,357,404,391,395,1347,1355,1360,1324,1337,1354,1339,1364,1,1,1,0,†,69,60,57,53,†
TEXAS,BAILEY COUNTY,1446,1467,1491,1497,1515,772,805,795,746,743,779,771,780,726,724,707,700,704,712,716,724,0,0,0,1,1,1,2,2,7,5,4,2,2,2,2,2,1228,1230,1218,1142,1131,1121,1070,1072,3,4,5,6,5,13,9,14,259,287,272,295,308,354,404,414,0,0,0,†,†,1,3,3,†,†
OREGON,BAKER COUNTY,2357,2208,2294,2335,2264,1227,1204,1219,1225,1142,1198,1223,1201,1202,1136,1121,1115,1026,1074,1093,1089,26,27,39,45,47,52,49,55,28,23,31,44,40,28,26,31,194,180,163,146,93,77,85,89,9,5,10,13,9,9,7,9,2052,2000,2008,2092,1979,2106,2149,2106,2,3,2,†,†,118,102,87,†,†
GEORGIA,BAKER COUNTY,379,433,467,448,379,145,144,161,174,211,228,207,175,190,193,191,205,219,238,240,203,0,0,0,0,0,0,0,0,0,0,3,3,4,6,3,8,24,21,27,36,30,33,26,18,247,251,270,282,328,347,327,280,53,57,48,55,68,80,91,72,0,0,0,0,†,11,8,4,3,†
FLORIDA,BAKER COUNTY,5169,5065,4959,4974,4903,‡,2614,2584,2592,2575,2517,2541,2569,‡,2436,2420,2428,2405,2368,2363,2334,‡,13,15,18,13,10,9,7,‡,25,18,26,22,18,18,16,‡,95,93,75,64,62,51,41,‡,590,617,623,630,612,621,637,‡,4207,4129,4278,4251,4183,4205,4202,‡,2,0,†,†,‡,118,132,†,†
GEORGIA,BALDWIN COUNTY,5447,5806,5831,5904,5948,2863,2929,2791,2746,2855,2818,2875,2912,2724,2808,2693,2701,2797,2872,2900,2905,7,8,6,7,8,13,10,10,66,64,66,60,65,64,61,65,102,105,97,92,81,96,87,70,3598,3750,3544,3533,3799,3771,3840,3830,1643,1634,1637,1625,1699,1746,1777,1842,5,3,0,0,†,166,173,134,130,†
ALABAMA,BALDWIN COUNTY,27880,27120,26512,26286,25900,15074,14763,14507,14144,13843,13497,13377,13323,14345,13882,13658,13364,13012,12779,12669,12382,182,186,179,170,159,148,166,149,253,247,231,232,214,190,174,169,1507,1348,1403,1295,1137,1063,928,755,3996,3967,3925,3991,3900,3923,3951,3998,22960,22488,22155,21820,21445,20952,20827,20634,23,17,16,†,†,498,392,256,†,†
KENTUCKY,BALLARD COUNTY,1467,1420,1448,1358,1508,767,774,776,763,745,769,724,714,681,693,684,666,640,667,628,638,2,1,0,0,2,0,1,1,1,1,2,1,0,0,1,1,16,14,11,9,9,4,5,5,47,49,68,60,45,57,57,54,1316,1348,1341,1359,1329,1375,1288,1291,0,0,0,†,†,66,54,38,†,†
MARYLAND,BALTIMORE CITY,83026,82266,81284,84515,‡,43476,43157,42907,42247,41604,40925,42602,43934,42130,41898,41757,41384,41275,40957,42504,43720,315,306,317,256,209,211,226,240,891,898,873,769,618,574,563,547,4568,3884,3270,2597,2316,2005,1819,1629,72558,72779,73347,73501,73327,72861,75980,78113,6767,6711,6541,6508,6409,6231,6518,7125,171,161,101,†,†,336,316,215,†,†
MARYLAND,BALTIMORE COUNTY,103324,103180,104283,105839,107043,54376,53416,52766,52501,52507,53161,53982,54950,52078,51202,50770,50218,50060,50524,51266,52082,394,383,397,644,517,529,540,584,6763,6534,6233,6394,5942,5576,5324,4979,7044,6615,6157,4852,4836,4441,3950,3500,40818,40064,39771,41358,41067,41155,41489,42020,47478,47507,47843,49471,50205,51984,53945,55949,92,79,61,†,†,3865,3436,3074,†,†
